Order_ID,Order_Date,Sales_Channel,Region,Gender_Category,Product_Line,Product_Name,Product_Type,Size_Type,Clean_Size,Clean_units,Clean_MRP,Clean_Discount,New_Revenue ,Profit,Profit_category,Row_Check
2001,7/9/2024,Retail,Hyderabad,Women,Soccer,Tiempo Legend,Shoe,Numeric,10,3.00,"$4,957.93",64.03%,"$14,873.79",-112.53,Loss,Clean
2002,7/9/2024,Retail,Mumbai,Women,Soccer,Premier III,Shoe,Numeric,10,4.00,"$5,697.14",64.03%,$0.00,3337.34,High_Profit,Clean
2005,9/12/2024,Retail,Delhi,Women,Training,Flex Trainer,Clothing,Text,M,1.00,"$7,363.96",60.19%,"$7,363.96",1415.98,High_Profit,Clean
2007,4/6/2025,Retail,Bangalore,Kids,Training,SuperRep Go,Clothing,Text,M,1.00,"$5,642.50",32.00%,$0.00,2928.36,High_Profit,Clean
2009,11/10/2024,Online,Pune,Men,Soccer,Mercurial Superfly,Shoe,Numeric,10,4.00,"$6,211.46",64.03%,$0.00,3929.61,High_Profit,Clean
2010,1/16/2025,Online,Pune,Kids,Lifestyle,Waffle One,Clothing,Text,L,1.00,"$7,949.83",65.40%,"$7,949.83",1965.56,High_Profit,Clean
2016,5/31/2025,Retail,Hyderabad,Women,Basketball,Air Jordan,Shoe,Numeric,10,1.00,"$9,871.75",30.00%,"$6,910.23",2452.69,High_Profit,Clean
2017,3/17/2025,Retail,Delhi,Women,Basketball,Air Jordan,Shoe,Numeric,9,4.00,"$6,123.52",62.60%,$0.00,1946.24,High_Profit,Clean
2020,1/17/2025,Online,Hyderabad,Kids,Running,Air Zoom,Shoe,Numeric,6,0.00,"$3,424.06",32.00%,$0.00,1915.24,High_Profit,Clean
2025,12/28/2024,Retail,Bangalore,Kids,Training,SuperRep Go,Clothing,Text,XL,0.00,"$5,642.50",50.00%,$0.00,1842.35,High_Profit,Clean
2026,12/28/2024,Retail,Mumbai,Women,Basketball,Kyrie Flytrap,Shoe,Numeric,10,3.00,"$9,820.50",62.60%,"$29,461.50",1900.15,High_Profit,Clean
2027,8/10/2024,Retail,Kolkata,Kids,Lifestyle,Blazer Mid,Clothing,Text,XL,1.00,"$6,107.63",16.00%,$0.00,2301.64,High_Profit,Clean
2030,10/28/2023,Online,Bangalore,Men,Training,ZoomX Invincible,Clothing,Text,M,0.00,"$6,630.32",60.19%,$0.00,-185.67,Loss,Clean
2032,5/9/2024,Online,Delhi,Men,Soccer,Premier III,Shoe,Numeric,0,4.00,"$3,493.04",82.00%,"$2,514.99",350.7,Low_Profit,Clean
2036,11/17/2024,Online,Bangalore,Kids,Basketball,Zoom Freak,Shoe,Numeric,0,4.00,"$6,389.62",38.00%,$0.00,2914.83,High_Profit,Clean
2037,2/15/2025,Retail,Bangalore,Men,Training,Metcon 7,Clothing,Text,M,3.00,"$5,996.89",60.19%,$0.00,-143.8,Loss,Clean
2039,,Online,Delhi,Kids,Running,Free RN,Shoe,Numeric,0,0.00,"$6,045.67",83.00%,$0.00,1163.21,High_Profit,Clean
2042,7/3/2025,Retail,Delhi,Women,Basketball,Zoom Freak,Shoe,Numeric,10,3.00,"$5,075.22",62.60%,"$15,225.66",145.08,Low_Profit,Clean
2047,4/6/2025,Retail,Delhi,Kids,Lifestyle,Dunk Low,Clothing,Text,XL,4.00,"$6,079.66",65.40%,$0.00,1833.94,High_Profit,Clean
2049,6/13/2024,Retail,Bangalore,Women,Training,SuperRep Go,Clothing,Text,M,1.00,"$8,577.75",60.19%,"$8,577.75",2888.68,High_Profit,Clean
2051,10/27/2024,Retail,Pune,Kids,Soccer,Tiempo Legend,Shoe,Numeric,10,1.00,"$7,767.20",64.03%,"$7,767.20",311.48,Low_Profit,Clean
2052,,Retail,Kolkata,Men,Running,Air Zoom,Shoe,Numeric,10,1.00,"$5,924.06",57.00%,$0.00,682.12,High_Profit,Clean
2054,10/8/2024,Retail,Pune,Men,Training,Flex Trainer,Clothing,Text,M,3.00,"$9,155.96",60.19%,"$27,467.88",2184.8,High_Profit,Clean
2055,10/2/2024,Online,Delhi,Men,Lifestyle,Air Force 1,Clothing,Text,XL,3.00,"$6,009.58",65.40%,"$18,028.74",3384.92,High_Profit,Clean
2059,5/31/2024,Retail,Bangalore,Men,Running,React Infinity,Shoe,Numeric,10,3.00,"$6,291.92",63.91%,$0.00,-244.44,Loss,Clean
2060,9/14/2024,Online,Mumbai,Men,Lifestyle,Waffle One,Clothing,Text,M,3.00,"$6,216.29",94.00%,"$1,118.93",-642.02,Loss,Clean
2063,7/11/2024,Online,Bangalore,Men,Lifestyle,Waffle One,Clothing,Text,L,2.00,"$7,979.26",65.40%,"$15,958.52",2821.59,High_Profit,Clean
2065,6/6/2025,Online,Bangalore,Men,Basketball,Air Jordan,Shoe,Numeric,0,2.00,"$6,123.52",62.60%,$0.00,1823.91,High_Profit,Clean
2066,6/9/2024,Retail,Pune,Women,Basketball,Air Jordan,Shoe,Numeric,10,1.00,"$9,751.00",16.00%,"$8,190.84",1130.31,High_Profit,Clean
2067,3/2/2025,Online,Bangalore,Kids,Running,React Infinity,Shoe,Numeric,10,2.00,"$7,557.71",63.91%,"$15,115.42",3277.44,High_Profit,Clean
2070,6/5/2025,Online,Kolkata,Kids,Basketball,LeBron 20,Shoe,Numeric,10,4.00,"$3,588.38",62.60%,"$14,353.52",161.5,Low_Profit,Clean
2071,12/5/2024,Retail,Mumbai,Men,Running,Free RN,Shoe,Numeric,0,4.00,"$2,553.29",63.91%,"$10,213.16",984.9,High_Profit,Clean
2074,1/12/2025,Retail,Pune,Kids,Lifestyle,Blazer Mid,Clothing,Text,M,3.00,"$7,849.81",49.00%,"$12,010.21",-882.96,Loss,Clean
2075,1/12/2025,Retail,Pune,Men,Training,Flex Trainer,Clothing,Text,M,3.00,"$6,095.99",60.19%,$0.00,3639.2,High_Profit,Clean
2076,3/11/2024,Online,Hyderabad,Women,Lifestyle,Blazer Mid,Clothing,Text,M,4.00,"$6,107.63",85.00%,$0.00,443.86,Low_Profit,Clean
