Order_ID,Order_Date,Sales_Channel,Region,Gender_Category,Product_Line,Product_Name,Product_Type,Size_Type,Clean_Size,Clean_units,Clean_MRP,Clean_Discount,New_Revenue ,Profit,Profit_category,Row_Check
2000,3/9/2024,Online,Bangalore,Kids,Training,SuperRep Go,Clothing,Text,M,Missing,"$5,642.50",47.00%,$0.00,-770.45,Loss,Needs_Review
2001,7/9/2024,Retail,Hyderabad,Women,Soccer,Tiempo Legend,Shoe,Numeric,10,3.00,"$4,957.93",64.03%,"$14,873.79",-112.53,Loss,Clean
2002,7/9/2024,Retail,Mumbai,Women,Soccer,Premier III,Shoe,Numeric,10,4.00,"$5,697.14",64.03%,$0.00,3337.34,High_Profit,Clean
2003,4/10/2024,Online,Pune,Kids,Lifestyle,Blazer Mid,Clothing,Text,L,Missing,"$9,673.57",65.40%,$0.00,3376.85,High_Profit,Needs_Review
2004,9/12/2024,Retail,Delhi,Kids,Running,React Infinity,Shoe,Numeric,10,Missing,"$6,291.92",63.91%,$0.00,187.89,Low_Profit,Needs_Review
2005,9/12/2024,Retail,Delhi,Women,Training,Flex Trainer,Clothing,Text,M,1.00,"$7,363.96",60.19%,"$7,363.96",1415.98,High_Profit,Clean
2006,4/6/2025,Online,Bangalore,Men,Training,SuperRep Go,Clothing,Text,M,Missing,"$6,819.78",60.19%,$0.00,1802.09,High_Profit,Needs_Review
2007,4/6/2025,Retail,Bangalore,Kids,Training,SuperRep Go,Clothing,Text,M,1.00,"$5,642.50",32.00%,$0.00,2928.36,High_Profit,Clean
2008,11/10/2024,Online,Hyderabad,Women,Soccer,Premier III,Shoe,Numeric,11,Return,"$5,697.14",64.03%,$0.00,-731.18,Return_Transaction,Needs_Review
2009,11/10/2024,Online,Pune,Men,Soccer,Mercurial Superfly,Shoe,Numeric,10,4.00,"$6,211.46",64.03%,$0.00,3929.61,High_Profit,Clean
2010,1/16/2025,Online,Pune,Kids,Lifestyle,Waffle One,Clothing,Text,L,1.00,"$7,949.83",65.40%,"$7,949.83",1965.56,High_Profit,Clean
2011,1/16/2025,Retail,Hyderabad,Women,Training,Flex Trainer,Clothing,Text,L,Return,"$9,586.08",60.19%,"-$9,586.08",1667.08,Return_Transaction,Needs_Review
2018,11/13/2024,Online,Delhi,Kids,Lifestyle,Blazer Mid,Clothing,Text,M,Return,"$6,107.63",86.00%,$0.00,2109.48,Return_Transaction,Needs_Review
2013,9/19/2024,Online,Hyderabad,Kids,Training,SuperRep Go,Clothing,Text,M,Missing,"$9,671.05",60.19%,$0.00,299.34,Low_Profit,Needs_Review
2014,4/12/2025,Online,Bangalore,Women,Running,React Infinity,Shoe,Numeric,11,Missing,"$6,291.92",63.91%,$0.00,-1044.4,Loss,Needs_Review
2015,5/31/2025,Retail,Kolkata,Kids,Basketball,Air Jordan,Shoe,Numeric,0,Missing,"$3,285.52",62.60%,$0.00,1193.21,High_Profit,Needs_Review
2016,5/31/2025,Retail,Hyderabad,Women,Basketball,Air Jordan,Shoe,Numeric,10,1.00,"$9,871.75",30.00%,"$6,910.23",2452.69,High_Profit,Clean
2017,3/17/2025,Retail,Delhi,Women,Basketball,Air Jordan,Shoe,Numeric,9,4.00,"$6,123.52",62.60%,$0.00,1946.24,High_Profit,Clean
2019,3/17/2025,Online,Bangalore,Men,Training,Metcon 7,Clothing,Text,XL,0.00,"$5,996.89",Invalid_Check,$0.00,-966.89,Loss,Needs_Review
2020,1/17/2025,Online,Hyderabad,Kids,Running,Air Zoom,Shoe,Numeric,6,0.00,"$3,424.06",32.00%,$0.00,1915.24,High_Profit,Clean
2021,3/28/2025,Retail,Mumbai,Kids,Soccer,Tiempo Legend,Shoe,Numeric,10,Return,"$5,732.20",67.00%,$0.00,439.96,Return_Transaction,Needs_Review
2022,11/19/2024,Retail,Hyderabad,Men,Running,Free RN,Shoe,Numeric,10,Return,"$7,086.70",66.00%,"-$2,409.48",-1120.49,Return_Transaction,Needs_Review
2023,9/24/2024,Online,Pune,Women,Soccer,Premier III,Shoe,Numeric,10,Missing,"$5,697.14",64.03%,$0.00,3427.16,High_Profit,Needs_Review
2024,10/1/2025,Online,Mumbai,Men,Lifestyle,Waffle One,Clothing,Text,M,Missing,"$5,003.95",65.40%,$0.00,1498.37,High_Profit,Needs_Review
2025,12/28/2024,Retail,Bangalore,Kids,Training,SuperRep Go,Clothing,Text,XL,0.00,"$5,642.50",50.00%,$0.00,1842.35,High_Profit,Clean
2026,12/28/2024,Retail,Mumbai,Women,Basketball,Kyrie Flytrap,Shoe,Numeric,10,3.00,"$9,820.50",62.60%,"$29,461.50",1900.15,High_Profit,Clean
2027,8/10/2024,Retail,Kolkata,Kids,Lifestyle,Blazer Mid,Clothing,Text,XL,1.00,"$6,107.63",16.00%,$0.00,2301.64,High_Profit,Clean
2028,8/10/2024,Online,Pune,Men,Basketball,Zoom Freak,Shoe,Numeric,10,Missing,"$6,389.62",22.00%,$0.00,-138.74,Loss,Needs_Review
2029,,Retail,Delhi,Men,Training,Flex Trainer,Clothing,Text,M,Missing,"$3,270.23",60.19%,$0.00,-946.86,Loss,Needs_Review
2030,10/28/2023,Online,Bangalore,Men,Training,ZoomX Invincible,Clothing,Text,M,0.00,"$6,630.32",60.19%,$0.00,-185.67,Loss,Clean
2031,7/14/2025,Retail,Hyderabad,Men,Soccer,Phantom GT,Shoe,Numeric,10,Missing,"$6,237.40",Invalid_Check,$0.00,-122.93,Loss,Needs_Review
2032,5/9/2024,Online,Delhi,Men,Soccer,Premier III,Shoe,Numeric,0,4.00,"$3,493.04",82.00%,"$2,514.99",350.7,Low_Profit,Clean
2033,11/4/2025,Retail,Mumbai,Women,Lifestyle,Blazer Mid,Clothing,Text,XL,1.00,"$6,107.63",Invalid_Check,$0.00,-555.16,Loss,Needs_Review
2034,11/4/2025,Retail,Kolkata,Men,Soccer,Mercurial Superfly,Shoe,Numeric,10,Return,"$6,211.46",64.03%,$0.00,-1005.71,Return_Transaction,Needs_Review
2035,4/30/2025,Retail,Delhi,Men,Basketball,Air Jordan,Shoe,Numeric,6,Missing,"$6,235.71",62.60%,$0.00,-267.37,Loss,Needs_Review
2036,11/17/2024,Online,Bangalore,Kids,Basketball,Zoom Freak,Shoe,Numeric,0,4.00,"$6,389.62",38.00%,$0.00,2914.83,High_Profit,Clean
2037,2/15/2025,Retail,Bangalore,Men,Training,Metcon 7,Clothing,Text,M,3.00,"$5,996.89",60.19%,$0.00,-143.8,Loss,Clean
2038,2/15/2025,Retail,Pune,Kids,Running,Pegasus Turbo,Shoe,Numeric,7,3.00,"$5,653.14",Invalid_Check,-$169.59,2776.96,High_Profit,Needs_Review
2039,,Online,Delhi,Kids,Running,Free RN,Shoe,Numeric,0,0.00,"$6,045.67",83.00%,$0.00,1163.21,High_Profit,Clean
2041,4/22/2025,Retail,Hyderabad,Women,Training,Flex Trainer,Clothing,Text,M,Missing,"$2,767.70",63.00%,$0.00,-336.3,Loss,Needs_Review
2042,7/3/2025,Retail,Delhi,Women,Basketball,Zoom Freak,Shoe,Numeric,10,3.00,"$5,075.22",62.60%,"$15,225.66",145.08,Low_Profit,Clean
